address,subject_city_province_zip,effective_date,municipality_district,site_dimensions,lot_size_sf,units_sq_ft,year_built,structure_type,roofing,effective_age,style,construction,remaining_economic_life,windows,basement,exterior_finish,basement_area,foundation_walls,flooring,plumbing_lines,heating,fuel_type,water_heater,cooling,room_count,num_beds,room_total,main_lvl_area,second_lvl_area,third_lvl_area,gla,subject_age,num_baths,condition,orderID,total_baths
142-950 Oakview Ave Kingston ON K7M 6W8,"""Twin Oak Meadows""",Apr/11/2025,Kingston,Condo Common Property,,SqFt,1976,Townhouse,Asphalt Shingle,25,2 Storey,Wood Frame,50,Vinyl,Full/Finished,"Brick Veneer, Vinyl Siding",522,Concrete,"Hardwood, carpet, laminate, ceramic","Copper, PEX, ABS",Forced Air,Natural Gas,40 Gallon - Gas,Central Air,6.0,3,6.0,522,522.0,,1044.0,49.0,1:1,Average,4762597,1.5
7180 207 HWY Halifax NS B0J2L0,"West Chezzetcook, NS B0J2L0",Apr/17/2025,Halifax Regional Municipality - West Chezzetcook,See Schedule A and or Plot Map,72745.0,SqFt,2011,Detached,Asphalt Shingle,10,1.5 Storey,Log,50,Wood,Full/Finished,Log,1060,Poured Concrete,Carpet,"Copper, PEX, ABS",Radiant,Electric,80 +/- gl Electric,Ductless mini split,6.0,3,6.0,1060,440.0,,1500.0,14.0,2:1,Average,4762739,2.5
11 PAUL AVE Ayr ON N0B1E0,Ayr ON N0B1E0,May/01/2025,"Township of North Dumfries, Region of Waterloo",131' x 154',20174.0,SqFt,1983,Detached,Asphalt/Fiberglass Shingle,15,2 Storey,Wood,65,PVC,Full/Part Finished,Brick/Siding,1660,Concrete,Laminate,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,9.0,4,9.0,1660,1340.0,,3000.0,42.0,2:1,Average,4763065,2.5
102 Stonewalk Dr Kemptville ON K0G 1J0,Kemptville ON K0G 1J0,Apr/15/2025,"North Grenville, Ontario",176.38 F x Irregular,1.25,Acres,2012 +/-,Detached,Asphalt/Fiberglass Shingle,10,Bungalow,Wood,60,Vinyl,Full/Finished,Brick Veneer/Vinyl Siding,1283,Poured concrete,Hardwood,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,5.0,2,5.0,,,,1283.0,2012.0,3:0,Good,4763086,3.0
407 105 Dunbrack St Halifax NS B3M3G7,Halifax NS B3M3G7,Apr/17/2025,Halifax Regional Municipality - Halifax,CONDO - N/A,,,1978,Condominium,Tar & Gravel,15,1 Storey,Steel,55,PVC,,Brick,,Concrete,Engineered Hardwood,"Copper, PEX, ABS",HWBB,Oil,Integrated with boiler,,6.0,3,6.0,1530,,,1530.0,47.0,2:0,Average,4763087,2.0
40 Bellroyal Crt Cole Harbour NS B2V 2B4,Cole Harbour NS B2V 2B4,Apr/16/2025,"Halifax Regional Municipality - Cole Harbour, Dartmouth",See Schedule A and or Plot Map,6825.0,SqFt,1985,Detached,Asphalt Shingle,12,4 Level Split,Wood,48,Vinyl,Part/FullFin'd+Crawl,"Brick, Siding",728,Poured Concrete,Carpet,"Copper, PEX, ABS",Electric Baseboard,Electric,Electric,,7.0,3,7.0,1074,672.0,,1746.0,40.0,2:1,Average,4764094,2.5
10 Crofton Rd Toronto ON M4G2B4,Toronto ON M4G2B4,Apr/16/2025,"City of Toronto, Region of Leaside (C11)",26.36' x 140.17',3694.0,SqFt,1941,Semi Detached,Asphalt/Fiberglass Shingle,15,2 Storey,Concrete,45,PVC,Finished-wet bar,Brick Veneer/Vinyl Siding,722,Concrete,Hardwood,PEX/PVC,Forced Air,Natural Gas,Natural Gas,Central Air,6.0,2,6.0,722,880.0,,1602.0,84.0,3:0,Average,4764103,3.0
11 Bermondsey Way Stittsville ON K2S2Y7,Stittsville ON K2S2Y7,Apr/14/2025,"Stittsville, City of Ottawa",42' x 84',3358.0,SqFt,2021,Townhouse,asphalt shingle,2,2 Storey,Wood,78,PVC,Full/Unfinished,"brick, siding",575 +/-,poured concrete,"hardwood, ceramic, carpet","Copper, PEX, ABS",Forced Air,Natural Gas,Tankless/Instant,Central Air,7.0,3,7.0,,,,1751.0,4.0,2F 1H,Good,4761696,2.5
306 11 SPRINGVALE AVE Halifax NS B3N0A3,Halifax NS B3N0A3,Apr/15/2025,Halifax Regional Municipality - Halifax,CONDO - NOT APPLICABLE,,SqFt,2006,Condominium,Tar & Gravel,10,1 Storey,Concrete,50,PVC,,"Brick/Stone, Stucco",,Concrete,Hardwood,"Copper, PEX, ABS",Hot Water/Steam Boiler,Oil,Integrated with boiler,Ductless mini split,6.0,2,6.0,1523,,,1523.0,19.0,2:0,Good,4762154,2.0
229 SANDPIPER CRES Chestermere AB T1X0Y4,Chestermere AB T1X0Y4,Apr/14/2025,"Chestermere, AB / Kinniburg",14.30 m x 38.40 m,549.0,SqM,2019,Detached,Asphalt Shingle,6,2 Storey,Wood,59,Vinyl,Full/Unfinished,Siding and Stone,1135,Concrete,Hardwood,"Copper, PEX, ABS",Forced Air,Natural Gas,Natural Gas,Central Air,10.0,4,10.0,1135,1321.0,,2456.0,6.0,2:1,Good,4762330,2.5
164 Redmonds Rd Seabright NS B3Z3C4,Seabright NS B3Z3C4,Apr/17/2025,Halifax Regional Municipality - Seabright,See Schedule A and or Plot Map,42495.0,SqFt,2024,Detached,Metal,1,1.5 Storey,Wood,59,"Vinyl, Wood",Full/Part Finished,Siding,2137,Poured Concrete,Laminate,"Copper, PEX, ABS",2 ducted heat pumps and Radiant,Electric,Electric,Heat Pump,9.0,5,10.0,2371.63,960.91,,3332.0,1.0,2:1,Excellent,4762406,2.5
11 Bashir St Maple ON L6A3A3,Maple ON L6A3A3,Apr/14/2025,"Region of York, City of Vaughan",24.96' x 104.92',2619.0,SqFt,2000,Semi Detached,Asphalt/Fiberglass Shingle,20,2 Storey,Wood,40,PVC,Finished-illegal apartment,Brick Veneer/Vinyl Siding,809,Concrete,Hardwood,Copper,Forced Air,Natural Gas,Natural Gas,Central Air,7.0,3,7.0,809,716.0,,1525.0,25.0,3:1,Average,4761220,3.5
